Year,Rank,Distributor,Movies,1995 Gross,Tickets,Share
1997,25,Legacy Releasing,5,"$2,061,610","449,151",0.03
1997,26,Distributor Unknown,1,"$1,851,655","403,410",0.03
1997,27,Goldwyn Entertainment,6,"$1,822,105","396,971",0.03
1997,28,Arrow Releasing,1,"$1,351,319","294,405",0.02
1997,29,Orion Classics,2,"$841,696","183,375",0.01
1997,30,First Look,5,"$825,797","179,910",0.01
1997,31,Strand,7,"$799,818","174,249",0.01
1997,32,Kit Parker Films,1,"$793,112","172,791",0.01
1997,33,Zeitgeist,2,"$593,913","129,391",0.01
1997,34,Cinepix Film Properties,2,"$569,507","124,075",0.01
1997,35,Rialto Pictures,1,"$528,428","115,125",0.01
1997,36,Northern Arts Entertainment,6,"$316,681","68,991",0.01
1997,37,First Run Features,3,"$278,084","60,584",0.00
1997,38,Embassy,1,"$75,702","16,492",0.00
1997,39,Seventh Art Releasing,1,"$18,665","4,066",0.00
1997,40,Roxie Releasing,1,"$12,836","2,796",0.00
1997,41,Avalanche Releasing,1,"$11,251","2,451",0.00
1997,42,Castle Hill Productions,2,"$10,000","2,178",0.00
1997,43,Shadow,1,"$5,000","1,089",0.00
1997,44,Phaedra Cinema,1,"$5,000","1,089",0.00
1998,1,Walt Disney,28,"$1,109,009,676","236,462,602",16.38
1998,2,Paramount Pictures,19,"$1,046,011,656","223,030,194",15.45
1998,3,Warner Bros.,31,"$758,468,077","161,720,256",11.20
1998,4,20th Century Fox,19,"$729,639,504","155,573,445",10.78
1998,5,Sony Pictures,37,"$684,267,457","145,899,229",10.11
1998,6,New Line,17,"$518,917,489","110,643,379",7.66
1998,7,Dreamworks SKG,7,"$467,963,255","99,778,942",6.91
1998,8,Universal,19,"$400,605,109","85,416,858",5.92
1998,9,Miramax,40,"$394,840,826","84,187,789",5.83
1998,10,MGM,16,"$189,039,838","40,306,995",2.79
1998,11,Polygram,6,"$100,959,041","21,526,446",1.49
1998,12,MacGillivray Freeman Films,1,"$66,877,098","14,259,509",0.99
1998,13,Sony/TriStar,3,"$58,993,028","12,578,470",0.87
1998,14,Sony Pictures Classics,20,"$45,583,526","9,719,292",0.67
1998,15,Gramercy,11,"$44,163,931","9,416,611",0.65
1998,16,October Films,11,"$28,822,836","6,145,588",0.43
1998,17,Fox Searchlight,8,"$23,155,177","4,937,134",0.34
1998,18,Artisan,8,"$22,476,640","4,792,457",0.33
1998,19,Trimark,9,"$14,015,798","2,988,438",0.21
1998,20,Fine Line,8,"$12,620,908","2,691,021",0.19
1998,21,Lionsgate,15,"$9,176,891","1,956,687",0.14
1998,22,Live Film & Mediaworks,1,"$6,754,958","1,440,289",0.10
1998,23,Discovery/IMAX,1,"$4,119,728","878,406",0.06
1998,24,First Look,2,"$3,637,502","775,585",0.05
1998,25,IMAX Films,2,"$3,526,086","751,830",0.05
1998,26,Live Entertainment,2,"$3,389,614","722,731",0.05
1998,27,Distributor Unknown,1,"$2,750,686","586,500",0.04
1998,28,Warren Miller Entertainment,1,"$2,750,064","586,367",0.04
1998,29,Stratosphere Entertainment,4,"$2,643,035","563,545",0.04
1998,30,Good Machine Releasing,1,"$2,635,624","561,966",0.04
1998,31,Lorimar Motion Pictures,1,"$1,547,397","329,935",0.02
1998,32,Strand,9,"$1,451,670","309,520",0.02
1998,33,Legacy Releasing,7,"$1,320,828","281,623",0.02
1998,34,Alliance Films,2,"$1,065,180","227,116",0.02
1998,35,New Yorker,6,"$885,961","188,902",0.01
1998,36,Rainbow Releasing,1,"$821,997","175,265",0.01
1998,37,Rialto Pictures,1,"$752,045","160,350",0.01
1998,38,Goldwyn Entertainment,2,"$574,877","122,574",0.01
1998,39,Artistic License,4,"$554,686","118,268",0.01
1998,40,Roxie Releasing,1,"$441,808","94,202",0.01
1998,41,Orion Pictures,2,"$422,709","90,129",0.01
1998,42,First Run Features,4,"$348,168","74,234",0.01
1998,43,Zeitgeist,5,"$338,755","72,227",0.01
1998,44,Leisure Time Features,1,"$316,872","67,563",0.00
1998,45,RS Entertainment,1,"$189,635","40,433",0.00
1998,46,Palm Pictures,1,"$126,722","27,019",0.00
1998,47,Atlantic,1,"$84,744","18,069",0.00
1998,48,Phaedra Cinema,1,"$62,626","13,353",0.00
1998,49,Kino International,2,"$61,818","13,180",0.00
1998,50,Empire Pictures,1,"$56,158","11,973",0.00
1998,51,Castle Hill Productions,5,"$19,447","4,144",0.00
1998,52,Attitude Films,1,"$16,556","3,530",0.00
1998,53,Cowboy Pictures,1,"$15,631","3,332",0.00
1998,54,Northern Arts Entertainment,2,"$10,000","2,132",0.00
1998,55,WinStar Cinema,1,"$5,951","1,268",0.00
1998,56,Avalanche Releasing,1,"$5,000","1,066",0.00
1998,57,Margin Films,1,"$2,194",467,0.00
1999,1,Walt Disney,30,"$1,244,033,523","244,888,472",16.95
1999,2,Warner Bros.,25,"$1,042,641,425","205,244,361",14.21
1999,3,Universal,23,"$934,514,419","183,959,519",12.73
1999,4,Paramount Pictures,21,"$848,754,297","167,077,607",11.57
1999,5,20th Century Fox,23,"$800,943,593","157,666,048",10.91
1999,6,Sony Pictures,36,"$631,096,104","124,231,500",8.60
1999,7,Dreamworks SKG,9,"$324,861,572","63,949,122",4.43
1999,8,Miramax,38,"$316,431,179","62,289,586",4.31
1999,9,MGM,14,"$310,129,710","61,049,148",4.23
1999,10,New Line,14,"$302,421,532","59,531,791",4.12
1999,11,Artisan,16,"$191,285,321","37,654,584",2.61
1999,12,Lionsgate,16,"$63,436,094","12,487,412",0.86
1999,13,October Films,9,"$41,416,362","8,152,823",0.56
1999,14,Sony/TriStar,1,"$41,012,827","8,073,391",0.56
1999,15,IMAX Films,6,"$39,766,350","7,828,019",0.54
1999,16,Sony Pictures Classics,18,"$33,530,130","6,600,410",0.46
1999,17,Gramercy,5,"$32,043,205","6,307,714",0.44
1999,18,USA Films,8,"$19,924,947","3,922,230",0.27
1999,19,Fox Searchlight,7,"$19,421,804","3,823,186",0.26
1999,20,MacGillivray Freeman Films,1,"$18,064,450","3,555,994",0.25
1999,21,Providence Entertainment,1,"$12,276,200","2,416,574",0.17
1999,22,Fine Line,9,"$7,421,500","1,460,921",0.10
1999,23,Discovery/IMAX,1,"$7,049,211","1,387,639",0.10
1999,24,Stratosphere Entertainment,9,"$5,827,200","1,147,083",0.08
1999,25,Eros Entertainment,6,"$5,015,082","987,220",0.07
1999,26,Trimark,5,"$4,921,124","968,723",0.07
1999,27,Primesco,2,"$4,702,896","925,766",0.06
1999,28,New Yorker,11,"$4,441,215","874,249",0.06
1999,29,nWave Pictures,1,"$4,269,548","840,462",0.06
1999,30,Warren Miller Entertainment,1,"$3,328,240","655,165",0.05
1999,31,Independent Artists,1,"$2,793,776","549,955",0.04
1999,32,Shadow,1,"$2,297,017","452,168",0.03
1999,33,Strand,15,"$2,227,484","438,475",0.03
1999,34,Distributor Unknown,2,"$1,649,060","324,617",0.02
1999,35,Goldwyn Entertainment,5,"$1,413,515","278,249",0.02
1999,36,Paramount Vantage,4,"$1,356,114","266,950",0.02
1999,37,Video Sound,3,"$1,322,737","260,381",0.02
1999,38,Artistic License,6,"$1,193,380","234,914",0.02
1999,39,Rialto Pictures,2,"$912,399","179,605",0.01
1999,40,Zeitgeist,6,"$886,715","174,547",0.01
1999,41,Alliance Films,1,"$641,624","126,303",0.01
1999,42,Cowboy Pictures,5,"$412,198","81,140",0.01
1999,43,Kino International,6,"$241,696","47,576",0.00
1999,44,WinStar Cinema,1,"$167,773","33,026",0.00
1999,45,Cinecom,1,"$148,443","29,221",0.00
1999,46,First Run Features,8,"$121,836","23,980",0.00
1999,47,Phaedra Cinema,11,"$115,916","22,812",0.00
1999,48,Good Machine Releasing,1,"$110,829","21,816",0.00
1999,49,Shooting Gallery,1,"$92,569","18,222",0.00
1999,50,Palm Pictures,2,"$87,725","17,268",0.00
1999,51,Lot 47 Films,1,"$57,291","11,277",0.00
1999,52,Seventh Art Releasing,1,"$51,282","10,094",0.00
1999,53,Legacy Releasing,2,"$38,945","7,665",0.00
1999,54,Roxie Releasing,1,"$32,606","6,418",0.00
1999,55,Regent Releasing,2,"$31,733","6,246",0.00
1999,56,Avalanche Releasing,1,"$20,416","4,018",0.00
1999,57,First Look,1,"$9,829","1,934",0.00
1999,58,Castle Hill Productions,2,"$6,829","1,343",0.00
2000,1,Walt Disney,28,"$1,111,156,845","206,151,531",14.75
2000,2,Universal,21,"$1,070,765,560","198,657,793",14.22
2000,3,Warner Bros.,28,"$888,590,005","164,858,983",11.80
2000,4,Paramount Pictures,19,"$785,491,260","145,731,207",10.43
2000,5,Dreamworks SKG,12,"$769,106,269","142,691,323",10.21
2000,6,20th Century Fox,22,"$730,393,108","135,508,916",9.70
2000,7,Sony Pictures,30,"$682,716,243","126,663,482",9.06
2000,8,New Line,17,"$373,949,533","69,378,384",4.96
2000,9,Miramax,27,"$307,697,254","57,086,676",4.09
2000,10,Miramax/Dimension,2,"$169,820,961","31,506,670",2.25
2000,11,MGM,12,"$104,302,941","19,351,189",1.38
2000,12,USA Films,12,"$83,654,065","15,520,229",1.11
2000,13,Artisan,11,"$73,010,105","13,545,470",0.97
2000,14,MacGillivray Freeman Films,2,"$56,237,051","10,433,589",0.75
2000,15,Destination Films,5,"$55,116,326","10,225,661",0.73
2000,16,Sony Pictures Classics,23,"$50,582,833","9,384,556",0.67
2000,17,IMAX Films,6,"$30,072,082","5,579,233",0.40
2000,18,Lionsgate,16,"$29,868,468","5,541,453",0.40
2000,19,Focus Features,5,"$20,843,017","3,866,976",0.28
2000,20,Fine Line,10,"$20,406,334","3,785,957",0.27
2000,21,Fox Searchlight,4,"$17,233,980","3,197,397",0.23
2000,22,Paramount Vantage,6,"$16,171,312","3,000,241",0.21
2000,23,Giant Screen Films,1,"$14,348,353","2,662,032",0.19
2000,24,Shooting Gallery,5,"$6,881,926","1,276,793",0.09
2000,25,Trimark,2,"$4,975,450","923,088",0.07
2000,26,nWave Pictures,2,"$4,157,498","771,335",0.06
2000,27,Roxie Releasing,3,"$3,655,814","678,257",0.05
2000,28,Primesco,2,"$3,036,798","563,412",0.04
2000,29,Alliance Films,4,"$2,920,513","541,837",0.04
2000,30,Excel Entertainment,1,"$2,637,726","489,374",0.04
2000,31,Phaedra Cinema,10,"$2,481,973","460,471",0.03
2000,32,Discovery/IMAX,1,"$2,197,561","407,710",0.03
2000,33,Cowboy Pictures,5,"$1,906,894","353,782",0.03
2000,34,Yash Raj Films,2,"$1,660,000","307,976",0.02
2000,35,Keystone Entertainment,1,"$1,248,746","231,678",0.02
2000,36,Eros Entertainment,4,"$1,215,181","225,450",0.02
2000,37,Rainforest Productions,1,"$1,161,843","215,555",0.02
2000,38,Indican Pictures,5,"$1,155,029","214,289",0.02
2000,39,New Yorker,8,"$1,101,389","204,336",0.01
2000,40,Zeitgeist,3,"$1,048,444","194,515",0.01
2000,41,Empire Pictures,2,"$914,837","169,727",0.01
2000,42,Hombre de Oro,1,"$886,410","164,454",0.01
2000,43,Kino International,3,"$807,937","149,894",0.01
2000,44,October Films,1,"$743,115","137,869",0.01
2000,45,Cho Taussig Prods.,1,"$679,695","126,102",0.01
2000,46,Video Sound,1,"$623,791","115,731",0.01
2000,47,First Look,2,"$583,416","108,239",0.01
2000,48,Rialto Pictures,3,"$480,554","89,155",0.01
2000,49,First Run Features,3,"$409,044","75,888",0.01
2000,50,Seventh Art Releasing,4,"$388,952","72,160",0.01
2000,51,Castle Hill Productions,4,"$388,576","72,091",0.01
2000,52,WellSpring,1,"$371,457","68,915",0.00
2000,53,Strand,9,"$347,683","64,502",0.00
2000,54,Providence Entertainment,1,"$334,352","62,031",0.00
2000,55,Goldwyn Entertainment,2,"$267,006","49,537",0.00
2000,56,WinStar Cinema,2,"$237,489","44,060",0.00
2000,57,Lot 47 Films,2,"$211,463","39,232",0.00
2000,58,ArtMattan Productions,2,"$62,199","11,539",0.00
2000,59,Films Around the World,1,"$51,753","9,601",0.00
2000,60,Arrow Releasing,2,"$27,107","5,028",0.00
2000,61,Artistic License,2,"$23,174","4,299",0.00
2000,62,Avatar,1,"$14,445","2,679",0.00
2000,63,Samuel Goldwyn Films,1,"$5,518","1,023",0.00
2000,64,Avalanche Releasing,1,"$3,077",570,0.00
2000,65,Picture This Entertainment,1,"$1,551",287,0.00
2001,1,Warner Bros.,31,"$1,232,663,479","217,785,054",14.86
2001,2,Universal,17,"$948,895,186","167,649,317",11.44
2001,3,Paramount Pictures,18,"$914,413,744","161,557,191",11.02
2001,4,Walt Disney,19,"$901,680,342","159,307,472",10.87
2001,5,20th Century Fox,20,"$862,854,286","152,447,744",10.40
2001,6,Sony Pictures,29,"$731,649,996","129,266,766",8.82
2001,7,New Line,13,"$612,290,818","108,178,584",7.38
2001,8,MGM,14,"$448,357,571","79,215,113",5.40
2001,9,Miramax,31,"$436,924,421","77,195,115",5.27
2001,10,Dreamworks SKG,8,"$400,158,761","70,699,424",4.82
2001,11,Miramax/Dimension,3,"$214,028,868","37,814,286",2.58
2001,12,USA Films,6,"$139,575,117","24,659,910",1.68
2001,13,Sony Pictures Classics,15,"$136,897,646","24,186,856",1.65
2001,14,Lionsgate,16,"$54,191,780","9,574,510",0.65
2001,15,Fox Searchlight,5,"$45,316,400","8,006,430",0.55
2001,16,Newmarket Films,2,"$25,968,111","4,588,005",0.31
2001,17,Paramount Vantage,9,"$22,742,139","4,018,042",0.27
2001,18,IMAX Films,8,"$18,769,800","3,316,216",0.23
2001,19,Fine Line,4,"$16,445,730","2,905,604",0.20
2001,20,Artisan,6,"$13,602,111","2,403,198",0.16
2001,21,Focus Features,6,"$9,159,594","1,618,300",0.11
2001,22,IDP Distribution,4,"$8,779,086","1,551,073",0.11
2001,23,Screen Media Films,1,"$8,434,601","1,490,212",0.10
2001,24,8X Entertainment,2,"$7,791,554","1,376,599",0.09
2001,25,WGBH Giant-Screen Films,1,"$6,683,025","1,180,746",0.08
2001,26,First Look,4,"$6,186,669","1,093,049",0.07
2001,27,nWave Pictures,3,"$4,967,214","877,598",0.06
2001,28,United Artists,1,"$4,591,287","811,181",0.06
2001,29,Giant Screen Films,1,"$4,293,965","758,651",0.05
2001,30,Cloud Ten Pictures,1,"$4,221,341","745,819",0.05
2001,31,Kino International,2,"$3,028,583","535,084",0.04
2001,32,Yash Raj Films,1,"$2,862,000","505,653",0.03
2001,33,IFC Films,4,"$2,570,925","454,225",0.03
2001,34,Power Point Films,1,"$2,310,714","408,253",0.03
2001,35,Purple Rose Films,1,"$2,276,406","402,191",0.03
2001,36,WellSpring,2,"$2,209,986","390,456",0.03
2001,37,Cowboy Pictures,3,"$1,949,561","344,444",0.02
2001,38,Lot 47 Films,3,"$1,928,000","340,635",0.02
2001,39,Really Big Film Corp.,1,"$1,688,717","298,359",0.02
2001,40,Excel Entertainment,2,"$1,511,758","267,094",0.02
2001,41,Seville,1,"$1,238,180","218,759",0.01
2001,42,Providence Entertainment,2,"$1,095,320","193,519",0.01
2001,43,Menemsha Entertainment,1,"$1,079,006","190,637",0.01
2001,44,WinStar Cinema,2,"$1,017,088","179,696",0.01
2001,45,Eros Entertainment,2,"$986,207","174,241",0.01
2001,46,Castle Hill Productions,2,"$942,540","166,525",0.01
2001,47,Set Pictures,1,"$835,767","147,662",0.01
2001,48,Zeitgeist,3,"$815,612","144,100",0.01
2001,49,Empire Pictures,3,"$757,715","133,871",0.01
2001,50,Roxie Releasing,2,"$727,942","128,611",0.01
2001,51,Tips Exports,1,"$645,615","114,066",0.01
2001,52,Access Motion Picture Group,1,"$638,227","112,760",0.01
2001,53,Avatar,5,"$619,785","109,501",0.01
2001,54,Cho Taussig Prods.,1,"$531,272","93,864",0.01
2001,55,New Yorker,5,"$421,902","74,538",0.01
2001,56,Strand,5,"$342,590","60,526",0.00
2001,57,Phaedra Cinema,1,"$207,990","36,747",0.00
2001,58,Rialto Pictures,2,"$198,802","35,123",0.00
2001,59,TLA Releasing,1,"$186,571","32,963",0.00
2001,60,Regent Releasing,2,"$150,168","26,531",0.00
2001,61,Jour de Fete,1,"$144,765","25,576",0.00
2001,62,Shooting Gallery,1,"$143,542","25,360",0.00
2001,63,Indican Pictures,4,"$135,161","23,878",0.00
2001,64,Alliance Films,1,"$124,092","21,924",0.00
2001,65,Discovery/IMAX,1,"$118,955","21,016",0.00
2001,66,Vitagraph Films,1,"$110,776","19,571",0.00
2001,67,Samuel Goldwyn Films,1,"$94,940","16,773",0.00
2001,68,Attitude Films,1,"$48,602","8,586",0.00
2001,69,First Run Features,1,"$46,296","8,179",0.00
2001,70,Artistic License,2,"$41,349","7,304",0.00
2001,71,Triumph Releasing,1,"$41,010","7,245",0.00
2001,72,Avalanche Releasing,1,"$33,565","5,930",0.00
2001,73,Pathe Contemporary Films,1,"$29,855","5,274",0.00
2001,74,Myriad Entertainment Group,1,"$20,840","3,681",0.00
2001,75,Equinox,1,"$20,610","3,641",0.00
2001,76,ArtMattan Productions,2,"$17,731","3,132",0.00
2002,1,Sony Pictures,32,"$1,554,048,733","267,478,253",16.97
2002,2,Walt Disney,28,"$1,175,098,032","202,254,380",12.84
2002,3,Warner Bros.,30,"$1,061,821,381","182,757,538",11.60
2002,4,20th Century Fox,23,"$981,440,569","168,922,633",10.72
2002,5,Universal,20,"$884,893,161","152,305,180",9.67
2002,6,New Line,12,"$880,698,528","151,583,217",9.62
2002,7,Paramount Pictures,25,"$673,939,881","115,996,523",7.36
2002,8,Dreamworks SKG,7,"$513,651,256","88,408,129",5.61
2002,9,MGM,22,"$368,388,691","63,405,959",4.02
2002,10,Miramax,32,"$248,930,830","42,845,220",2.72
2002,11,IFC Films,7,"$242,257,336","41,696,612",2.65
2002,12,Miramax/Dimension,5,"$130,303,083","22,427,378",1.42
2002,13,Fox Searchlight,6,"$77,554,449","13,348,439",0.85
2002,14,Lionsgate,11,"$68,159,341","11,731,379",0.74
2002,15,Artisan,7,"$54,934,765","9,455,206",0.60
2002,16,USA Films,3,"$53,506,478","9,209,375",0.58
2002,17,IMAX Films,8,"$40,974,642","7,052,430",0.45
2002,18,Focus Features,6,"$26,848,021","4,620,998",0.29
2002,19,Sony Pictures Classics,18,"$21,788,436","3,750,152",0.24
2002,20,WGBH Giant-Screen Films,1,"$6,996,294","1,204,181",0.08
2002,21,Paramount Vantage,8,"$5,716,567","983,914",0.06
2002,22,Newmarket Films,2,"$5,455,679","939,014",0.06
2002,23,Screen Media Films,1,"$5,204,007","895,698",0.06
2002,24,Excel Entertainment,2,"$4,655,625","801,312",0.05
2002,25,Goldwyn Entertainment,1,"$4,558,301","784,561",0.05
2002,26,Magnolia Pictures,3,"$4,072,550","700,953",0.04
2002,27,Lot 47 Films,3,"$3,845,079","661,802",0.04
2002,28,Outrider Pictures,8,"$3,434,895","591,199",0.04
2002,29,nWave Pictures,3,"$3,101,658","533,847",0.03
2002,30,Rat Entertainment,1,"$3,042,188","523,612",0.03
2002,31,Kino International,5,"$2,998,779","516,138",0.03
2002,32,ThinkFilm,3,"$2,829,734","487,045",0.03
2002,33,Palm Pictures,1,"$2,628,241","452,365",0.03
2002,34,WellSpring,4,"$2,095,777","360,717",0.02
2002,35,Fine Line,3,"$1,778,018","306,025",0.02
2002,36,Cowboy Pictures,5,"$1,771,245","304,859",0.02
2002,37,Odeon Films,1,"$1,691,000","291,049",0.02
2002,38,Samuel Goldwyn Films,1,"$1,397,734","240,573",0.02
2002,39,Halestorm Entertainment,1,"$1,250,798","215,283",0.01
2002,40,Avatar,1,"$1,195,412","205,750",0.01
2002,41,Five & Two Pictures,1,"$980,457","168,753",0.01
2002,42,Media Partners,1,"$944,272","162,525",0.01
2002,43,Regent Releasing,1,"$815,887","140,428",0.01
2002,44,Menemsha Entertainment,2,"$693,679","119,393",0.01
2002,45,Christal Films,1,"$666,850","114,776",0.01
2002,46,New Yorker,5,"$577,248","99,352",0.01
2002,47,Myriad Entertainment Group,1,"$559,622","96,320",0.01
2002,48,Indican Pictures,5,"$477,955","82,261",0.01
2002,49,First Run Features,2,"$406,742","70,006",0.00
2002,50,TLA Releasing,1,"$376,802","64,854",0.00
2002,51,First Look,3,"$334,048","57,494",0.00
2002,52,Panorama Entertainment,1,"$297,335","51,176",0.00
2002,53,Magic Lamp,2,"$245,660","42,282",0.00
2002,54,Jour de Fete,1,"$235,087","40,462",0.00
2002,55,United Artists,1,"$228,518","39,331",0.00
2002,56,Empire Pictures,4,"$157,619","27,127",0.00
2002,57,Strand,3,"$155,749","26,806",0.00
2002,58,Really Big Film Corp.,1,"$119,962","20,647",0.00
2002,59,Zeitgeist,2,"$98,336","16,924",0.00
2002,60,Five Sisters Productions,1,"$64,406","11,085",0.00
2002,61,Pathe Contemporary Films,1,"$55,985","9,635",0.00
2002,62,Roxie Releasing,1,"$54,834","9,437",0.00
2002,63,Cinema Guild,2,"$54,281","9,342",0.00
2002,64,Distributor Unknown,1,"$44,025","7,577",0.00
2002,65,IDP Distribution,1,"$36,731","6,322",0.00
2002,66,Testimony Pictures,1,"$26,000","4,475",0.00
2002,67,Cinebella Entertainment,1,"$25,049","4,311",0.00
2002,68,Power Point Films,1,"$24,638","4,240",0.00
